Map,WinGame,WinPistol,AgentsTeam1,AgentsTeam2
Haven,TeamB,TeamB,"['Raze', 'Fade', 'Reyna', 'Omen', 'Cypher']","['Omen', 'Sova', 'Reyna', 'Jett', 'Cypher']"
Icebox,TeamB,TeamB,"['Sova', 'Viper', 'Jett', 'Sage', 'Killjoy']","['Reyna', 'Viper', 'Jett', 'Killjoy', 'Sova']"
Fracture,TeamA,TeamB,"['Killjoy', 'Raze', 'Brimstone', 'Breach', 'Jett']","['Brimstone', 'Raze', 'Fade', 'Killjoy', 'Breach']"
Fracture,TeamA,TeamB,"['Raze', 'Brimstone', 'Cypher', 'Breach', 'Skye']","['Killjoy', 'Raze', 'Breach', 'Kayo', 'Brimstone']"
Breeze,TeamA,TeamB,"['Jett', 'Cypher', 'Sova', 'Viper', 'Yoru']","['Sova', 'Jett', 'Viper', 'Raze', 'Cypher']"
Ascent,TeamB,TeamB,"['Killjoy', 'Astra', 'Fade', 'Raze', 'Jett']","['Omen', 'Sova', 'Yoru', 'Killjoy', 'Jett']"
Breeze,TeamB,TeamB,"['Cypher', 'Viper', 'Raze', 'Jett', 'Sova']","['Viper', 'Sova', 'Kayo', 'Jett', 'Cypher']"
Icebox,TeamA,TeamB,"['Jett', 'Viper', 'Reyna', 'Sova', 'Killjoy']","['Killjoy', 'Viper', 'Reyna', 'Jett', 'Sova']"
Pearl,TeamB,TeamB,"['Raze', 'Neon', 'Cypher', 'Fade', 'Astra']","['Kayo', 'Sova', 'Astra', 'Yoru', 'Killjoy']"
Haven,TeamA,TeamB,"['Raze', 'Jett', 'Astra', 'Cypher', 'Fade']","['Sova', 'Killjoy', 'Skye', 'Omen', 'Reyna']"
Bind,TeamB,TeamB,"['Astra', 'Cypher', 'Sage', 'Raze', 'Sova']","['Phoenix', 'Fade', 'Brimstone', 'Raze', 'Cypher']"
Bind,TeamA,TeamB,"['Killjoy', 'Fade', 'Raze', 'Brimstone', 'Skye']","['Raze', 'Omen', 'Yoru', 'Skye', 'Cypher']"
Breeze,TeamB,TeamB,"['Sova', 'Cypher', 'Kayo', 'Jett', 'Viper']","['Kayo', 'Reyna', 'Jett', 'Sova', 'Viper']"
Fracture,TeamB,TeamB,"['Killjoy', 'Raze', 'Breach', 'Brimstone', 'Jett']","['Neon', 'Killjoy', 'Breach', 'Jett', 'Brimstone']"
Ascent,TeamB,TeamB,"['Astra', 'Sova', 'Raze', 'Killjoy', 'Reyna']","['Sage', 'Jett', 'Kayo', 'Omen', 'Sova']"
Ascent,TeamB,TeamB,"['Killjoy', 'Omen', 'Reyna', 'Sova', 'Jett']","['Sova', 'Cypher', 'Jett', 'Omen', 'Kayo']"
Haven,TeamA,TeamB,"['Jett', 'Breach', 'Sova', 'Omen', 'Raze']","['Jett', 'Sova', 'Omen', 'Cypher', 'Phoenix']"
Pearl,TeamA,TeamB,"['Reyna', 'Astra', 'Killjoy', 'Raze', 'Fade']","['Sova', 'Neon', 'Harbor', 'Omen', 'Cypher']"
Haven,TeamB,TeamA,"['Sova', 'Omen', 'Raze', 'Cypher', 'Jett']","['Reyna', 'Killjoy', 'Jett', 'Sova', 'Omen']"
Breeze,TeamA,TeamB,"['Jett', 'Viper', 'Sova', 'Cypher', 'Yoru']","['Reyna', 'Sova', 'Jett', 'Cypher', 'Viper']"
Ascent,TeamA,TeamA,"['Kayo', 'Omen', 'Jett', 'Sova', 'Killjoy']","['Jett', 'Cypher', 'Sova', 'Omen', 'Reyna']"
Bind,TeamB,TeamB,"['Jett', 'Brimstone', 'Phoenix', 'Skye', 'Cypher']","['Jett', 'Raze', 'Skye', 'Cypher', 'Brimstone']"
Fracture,TeamB,TeamA,"['Killjoy', 'Kayo', 'Jett', 'Brimstone', 'Breach']","['Kayo', 'Raze', 'Cypher', 'Brimstone', 'Breach']"
Icebox,TeamA,TeamB,"['Raze', 'Viper', 'Sage', 'Killjoy', 'Sova']","['Jett', 'Reyna', 'Harbor', 'Killjoy', 'Skye']"
Bind,TeamB,TeamB,"['Raze', 'Skye', 'Fade', 'Brimstone', 'Cypher']","['Raze', 'Jett', 'Cypher', 'Brimstone', 'Fade']"
Breeze,TeamA,TeamB,"['Sova', 'Viper', 'Reyna', 'Jett', 'Cypher']","['Cypher', 'Jett', 'Viper', 'Sova', 'Kayo']"
Pearl,TeamA,TeamB,"['Raze', 'Cypher', 'Fade', 'Astra', 'Phoenix']","['Fade', 'Astra', 'Viper', 'Neon', 'Cypher']"
Haven,TeamB,TeamB,"['Fade', 'Omen', 'Neon', 'Raze', 'Cypher']","['Raze', 'Cypher', 'Omen', 'Fade', 'Breach']"
Breeze,TeamA,TeamB,"['Jett', 'Sova', 'Viper', 'Fade', 'Cypher']","['Fade', 'Kayo', 'Jett', 'Cypher', 'Viper']"
Ascent,TeamA,TeamB,"['Sova', 'Sage', 'Jett', 'Astra', 'Kayo']","['Fade', 'Neon', 'Killjoy', 'Omen', 'Sova']"
Bind,TeamA,TeamB,"['Raze', 'Phoenix', 'Astra', 'Skye', 'Cypher']","['Raze', 'Reyna', 'Astra', 'Cypher', 'Fade']"
Icebox,TeamA,TeamB,"['Raze', 'Sova', 'Jett', 'Viper', 'Killjoy']","['Jett', 'Sova', 'Yoru', 'Viper', 'Killjoy']"
Ascent,TeamA,TeamB,"['Jett', 'Kayo', 'Sova', 'Killjoy', 'Omen']","['Jett', 'Kayo', 'Phoenix', 'Astra', 'Killjoy']"
Haven,TeamA,TeamB,"['Phoenix', 'Raze', 'Killjoy', 'Skye', 'Omen']","['Jett', 'Chamber', 'Raze', 'Omen', 'Sova']"
Pearl,TeamB,TeamB,"['Neon', 'Kayo', 'Chamber', 'Fade', 'Astra']","['Chamber', 'Yoru', 'Fade', 'Phoenix', 'Astra']"
Breeze,TeamB,TeamB,"['Chamber', 'Kayo', 'Viper', 'Jett', 'Sova']","['Chamber', 'Viper', 'Sova', 'Jett', 'Sage']"
Icebox,TeamB,TeamB,"['Chamber', 'Sage', 'Kayo', 'Jett', 'Viper']","['Sova', 'Reyna', 'Chamber', 'Jett', 'Viper']"
Bind,TeamA,TeamB,"['Raze', 'Chamber', 'Fade', 'Reyna', 'Brimstone']","['Neon', 'Raze', 'Chamber', 'Fade', 'Omen']"
